,Region Name,Country Code,Country Name,Year,Sex,Age Group,Number,Percentage of cause-specific deaths out of total deaths,Age-standardized death rate per 100 000 standard population,Death-rate 
EU,Europe,ALB,Albania,1987,All,[0],41,1.66734445,,50.86848635
EU,Europe,ALB,Albania,1987,All,[1-9],77,6.23481781,,26.92307692
EU,Europe,ALB,Albania,1987,All,[10-19],44,21.78217822,,13.20924647
EU,Europe,ALB,Albania,1987,All,[20-29],34,25.18518519,,10.75608985
EU,Europe,ALB,Albania,1987,All,[30-39],66,34.19689119,,21.2628866
EU,Europe,ALB,Albania,1987,All,[40-49],104,38.37638376,,35.59206023
EU,Europe,ALB,Albania,1987,All,[50-59],64,26.77824268,,22.23766505
EU,Europe,ALB,Albania,1987,All,[60-69],61,26.99115044,,25.03077554
EU,Europe,ALB,Albania,1987,All,[70-79],36,18.18181818,,19.53336951
EU,Europe,ALB,Albania,1987,All,[80-89],36,16.21621622,,25.67760342
EU,Europe,ALB,Albania,1987,All,[90-99],40,10.15228426,,28.16901409
